 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,118011148,24,26,25123,5608,7662,0,1046.791667,2004.864258,2836,0,215.6923077,601.482819,260.4076015,0.423688786,2408390.776,11700000.0,58900000,1,118000000,5130919.478,16900000.0,58900000,1,118000000,4718991.04,16300000.0,59000000,2,0,0,0,0,788,840,0.203370617,0.220318169,0,7662,602.5686275,1486.493919,2209664.17,0,0,0,1,0,0,0,0,1,614.62,1046.791667,215.6923077,788,0,0,0,0,0,0,24,25123,26,5608,29200,742,15,32,226431.5,207386.6407,373076,79787,58800000.0,228820.4615,58900000,58600000,Benign
53,110759978,2,2,92,451,50,42,46.0,5.656854249,385,66,225.5,225.5670632,4.902492848,0.036114128,36900000.0,63900000.0,111000000,23350,111000000,111000000.0,0.0,111000000,111000000,111000000,111000000.0,0.0,111000000,111000000,0,0,0,0,52,52,0.018057064,0.018057064,42,385,118.6,149.177076,22253.8,0,0,0,0,0,0,0,0,1,148.25,46.0,225.5,52,0,0,0,0,0,0,2,92,2,451,-1,-1,1,20,23350.0,0.0,23350,23350,111000000.0,0.0,111000000,111000000,Benign
53,31023,2,2,68,166,34,34,34.0,0.0,83,83,83.0,0.0,7542.790833,128.9365954,10341.0,17907.67333,31019,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,64.46829771,64.46829771,34,83,53.6,26.83840532,720.3,0,0,0,0,0,0,0,0,1,67.0,34.0,83.0,64,0,0,0,0,0,0,2,68,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,75915,3,5,424,2276,418,0,141.3333333,239.6191423,1460,0,455.2,659.9342391,35566.09366,105.3810182,10845.0,15225.11994,32662,2,41979,20989.5,16709.64035,32805,9174,43253,10813.25,20731.81731,41902,2,0,0,0,0,72,112,39.51788184,65.8631364,0,1460,300.0,517.5480654,267856.0,0,0,0,1,0,0,0,0,1,337.5,141.3333333,455.2,72,0,0,0,0,0,0,3,424,5,2276,8192,237,2,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,44826856,9,7,472,1812,430,0,52.44444444,141.5972379,1806,0,258.8571429,682.2295382,50.95159919,0.356928891,2988457.067,4521550.272,10000000,40,44800000,5603357.0,4952390.666,10000000,38861,40300000,6719201.167,5146053.539,10000000,1006,0,0,0,0,192,200,0.200772501,0.15615639,0,1806,134.3529412,442.9984398,196247.6176,0,0,0,1,0,0,0,0,0,142.75,52.44444444,258.8571429,192,0,0,0,0,0,0,9,472,7,1812,8192,946,8,20,76859.75,75980.29443,190830,38676,10000000.0,2476.617653,10000000,9998624,Benign
53464,778881,1,1,6,37,6,6,6.0,0.0,37,37,37.0,0.0,55.20740652,2.56778635,778881.0,0.0,778881,778881,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,1.283893175,1.283893175,6,37,16.33333333,17.89785834,320.3333333,1,0,0,0,0,0,0,0,1,24.5,6.0,37.0,20,0,0,0,0,0,0,1,6,1,37,0,65535,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
8079,86,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,139534.8837,23255.81395,86.0,0.0,86,86,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11627.90698,11627.90698,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,2048,252,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,117300627,27,22,3147,7170,435,0,116.5555556,191.9922541,796,0,325.9090909,400.3457921,87.95349406,0.417730077,2443763.063,4216461.315,9997219,56,117000000,4511562.577,4890938.827,10000000,10965,112000000,5340323.286,5030419.61,10000000,1210,0,0,0,0,576,584,0.230177798,0.18755228,0,796,206.34,316.1941157,99978.71878,0,0,0,1,0,0,0,0,0,210.5510204,116.5555556,325.9090909,576,0,0,0,0,0,0,27,3147,22,7170,8192,300,24,20,216889.0909,641336.7081,2150592,23381,9978306.0,59017.01335,9997219,9800602,Benign
53,23619,1,1,58,186,58,58,58.0,0.0,186,186,186.0,0.0,10330.66599,84.67759008,23619.0,0.0,23619,23619,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,42.33879504,42.33879504,58,186,100.6666667,73.90083446,5461.333333,0,0,0,0,0,0,0,0,1,151.0,58.0,186.0,32,0,0,0,0,0,0,1,58,1,186,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,220,2,2,80,112,40,40,40.0,0.0,56,56,56.0,0.0,872727.2727,18181.81818,73.33333333,121.8209068,214,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,9090.909091,9090.909091,40,56,46.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,58.0,40.0,56.0,64,0,0,0,0,0,0,2,80,2,112,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
49587,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,14317,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,4710720,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,38.42300115,1.273690646,942144.0,2054257.993,4616655,91,4710720,1177680.0,2293072.449,4616655,91,0,0.0,0.0,0,0,1,0,0,0,100,20,1.061408872,0.212281774,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,256,360,4,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,86648,2,2,72,286,36,36,36.0,0.0,143,143,143.0,0.0,4131.659127,46.16378912,28882.66667,49956.1114,86567,4,77,77.0,0.0,77,77,4,4.0,0.0,4,4,0,0,0,0,64,64,23.08189456,23.08189456,36,143,78.8,58.60631365,3434.7,0,0,0,0,0,0,0,0,1,98.5,36.0,143.0,64,0,0,0,0,0,0,2,72,2,286,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
911,3,2,0,4,0,2,2,2.0,0.0,0,0,0.0,0.0,1333333.333,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,48,0,666666.6667,0.0,2,2,2.0,0.0,0.0,0,0,0,1,0,0,0,0,0,3.0,2.0,0.0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,482,1,1,77,143,77,77,77.0,0.0,143,143,143.0,0.0,456431.5353,4149.377593,482.0,0.0,482,482,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2074.688797,2074.688797,77,143,99.0,38.10511777,1452.0,0,0,0,0,0,0,0,0,1,148.5,77.0,143.0,20,0,0,0,0,0,0,1,77,1,143,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,3084064,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,54.79782521,1.945484919,616812.8,1356524.324,3043284,3,3084064,771016.0,1514932.853,3043284,3,0,0.0,0.0,0,0,1,0,0,0,160,32,1.621237432,0.324247486,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46.0,160,0,0,0,0,0,0,5,123,1,46,310,349,2,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,416,3,0,53,0,53,0,17.66666667,30.59956427,0,0,0.0,0.0,127403.8462,7211.538462,208.0,224.8599564,367,49,416,208.0,224.8599564,367,49,0,0.0,0.0,0,0,0,0,0,0,96,0,7211.538462,0.0,0,53,13.25,26.5,702.25,0,0,0,0,1,0,0,0,0,17.66666667,17.66666667,0.0,96,0,0,0,0,0,0,3,53,0,0,44888,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,23690,2,2,80,250,40,40,40.0,0.0,125,125,125.0,0.0,13929.92824,168.847615,7896.666667,13672.23172,23684,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,84.42380751,84.42380751,40,125,74.0,46.55641739,2167.5,0,0,0,0,0,0,0,0,1,92.5,40.0,125.0,64,0,0,0,0,0,0,2,80,2,250,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
45222,54,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,1006,313,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,229,2,2,82,114,41,41,41.0,0.0,57,57,57.0,0.0,855895.1965,17467.24891,76.33333333,127.0170592,223,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,8733.624454,8733.624454,41,57,47.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,59.25,41.0,57.0,40,0,0,0,0,0,0,2,82,2,114,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
40694,61,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32786.88525,61.0,0.0,61,61,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16393.44262,16393.44262,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,283,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,31156,4,2,168,162,42,42,42.0,0.0,81,81,81.0,0.0,10591.86032,192.5792785,6231.2,13511.30551,30394,3,30400,10133.33333,17546.25203,30394,3,4,4.0,0.0,4,4,0,0,0,0,80,40,128.3861856,64.19309282,42,81,53.14285714,19.03005142,362.1428571,0,0,0,0,0,0,0,0,0,62.0,42.0,81.0,80,0,0,0,0,0,0,4,168,2,162,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,61230809,15,15,4785,3275,2920,0,319.0,811.7817265,1521,2,218.3333333,518.1164605,131.6330803,0.489949431,2111407.207,4087781.846,10000000,63,61200000,4373629.214,5099539.756,10100000,218,61100000,4367565.5,5146897.461,10100000,215,0,0,0,0,312,304,0.244974715,0.244974715,0,2920,260.0,661.5621916,437664.5333,0,0,0,1,0,0,0,0,1,268.6666667,319.0,218.3333333,312,0,0,0,0,0,0,15,4785,15,3275,8192,37960,14,20,174702.0,216862.3715,617323,84492,9974518.333,87140.10582,10000000,9796754,Benign
80,5072739,4,4,381,189,381,0,95.25,190.5,189,0,47.25,94.5,112.3653316,1.577057286,724677.0,1894539.503,5021009,47,51730,17243.33333,14854.21507,26774,128,5047974,1682658.0,2891161.642,5021056,1638,0,0,0,0,136,136,0.788528643,0.788528643,0,381,63.33333333,134.5278782,18097.75,0,0,0,1,0,0,0,0,1,71.25,95.25,47.25,136,0,0,0,0,0,0,4,381,4,189,29200,61,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,26687785,2,0,62,0,31,31,31.0,0.0,0,0,0.0,0.0,2.323160202,0.074940652,26700000.0,0.0,26700000,26700000,26700000,26700000.0,0.0,26700000,26700000,0,0.0,0.0,0,0,1,0,0,0,64,0,0.074940652,0.0,31,31,31.0,0.0,0.0,0,1,0,0,1,1,0,0,0,46.5,31.0,0.0,64,0,0,0,0,0,0,2,62,0,0,295,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
123,24623,1,1,48,48,48,48,48.0,0.0,48,48,48.0,0.0,3898.793811,81.22487106,24623.0,0.0,24623,24623,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,40.61243553,40.61243553,48,48,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,246,2,2,70,444,35,35,35.0,0.0,222,222,222.0,0.0,2089430.894,16260.1626,82.0,100.1948102,195,4,47,47.0,0.0,47,47,4,4.0,0.0,4,4,0,0,0,0,40,40,8130.081301,8130.081301,35,222,109.8,102.4241183,10490.7,0,0,0,0,0,0,0,0,1,137.25,35.0,222.0,40,0,0,0,0,0,0,2,70,2,444,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,202,2,2,78,334,39,39,39.0,0.0,167,167,167.0,0.0,2039603.96,19801.9802,67.33333333,109.6965511,194,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,9900.990099,9900.990099,39,167,90.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,112.75,39.0,167.0,40,0,0,0,0,0,0,2,78,2,334,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,890315,4,1,534,0,534,0,133.5,267.0,0,0,0.0,0.0,599.7877156,5.615989846,222578.75,394158.7417,812991,60,890315,296771.6667,447232.8267,812991,26196,0,0.0,0.0,0,0,0,0,0,0,136,40,4.492791877,1.123197969,0,534,89.0,218.0045871,47526.0,0,0,0,1,0,0,0,0,0,106.8,133.5,0.0,136,0,0,0,0,0,0,4,534,1,0,29200,26847,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,6913298,10,6,647,177,517,0,64.7,161.2555253,153,0,29.5,60.54997936,119.1905802,2.314380199,460886.5333,1039454.427,4092990,3,6913298,768144.2222,1430753.048,4492047,3,1480751,296150.2,209144.4819,606640,63157,0,0,0,0,284,132,1.446487624,0.867892575,0,517,48.47058824,127.3538955,16219.01471,0,0,0,1,0,0,0,0,0,51.5,64.7,29.5,284,0,0,0,0,0,0,10,647,6,177,29200,31,5,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
62895,43,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,279069.7674,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,23255.81395,23255.81395,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,335,258,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,115429092,16,14,437,796,437,0,27.3125,109.25,796,0,56.85714286,212.7399486,10.68188252,0.259899818,3980313.517,4986125.387,10200000,48,115000000,7695272.8,4410039.982,10200000,87,113000000,8666284.0,3840702.14,10200000,648,0,0,0,0,520,456,0.138613236,0.121286582,0,796,39.77419355,160.7838528,25851.44731,0,0,0,1,0,0,0,0,0,41.1,27.3125,56.85714286,520,0,0,0,0,0,0,16,437,14,796,29200,285,1,32,26067.27273,7857.292423,49757,23621,10200000.0,983.9675161,10200000,10200000,Benign
443,245660,10,8,622,4686,200,0,62.2,78.92725202,1602,0,585.75,764.72418,21607.09924,73.27200195,14450.58824,23920.70169,86085,3,245660,27295.55556,31766.54443,86085,3,172541,24648.71429,38688.04198,104019,48,0,0,0,0,212,172,40.70666775,32.5653342,0,1602,279.3684211,550.2682387,302795.1345,0,0,0,1,0,0,0,0,0,294.8888889,62.2,585.75,212,0,0,0,0,0,0,10,622,8,4686,8192,512,9,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,31233,2,2,68,144,34,34,34.0,0.0,72,72,72.0,0.0,6787.692505,128.0696699,10411.0,18026.31879,31226,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,64.03483495,64.03483495,34,72,49.2,20.81345719,433.2,0,0,0,0,0,0,0,0,1,61.5,34.0,72.0,64,0,0,0,0,0,0,2,68,2,144,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,88788,1,1,49,154,49,49,49.0,0.0,154,154,154.0,0.0,2286.345002,22.52556652,88788.0,0.0,88788,88788,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11.26278326,11.26278326,49,154,84.0,60.62177826,3675.0,0,0,0,0,0,0,0,0,1,126.0,49.0,154.0,20,0,0,0,0,0,0,1,49,1,154,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
88,861,2,2,2624,2604,1312,1312,1312.0,0.0,1302,1302,1302.0,0.0,6072009.292,4645.760743,287.0,491.0366585,854,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,2322.880372,2322.880372,1302,1312,1308.0,5.477225575,30.0,0,0,0,0,0,0,0,0,1,1635.0,1312.0,1302.0,40,0,0,0,0,0,0,2,2624,2,2604,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
443,63982,5,4,121,3110,121,0,24.2,54.11284506,1338,0,777.5,671.0238446,50498.57772,140.6645619,7997.75,12942.35439,28827,42,63982,15995.5,15158.59568,29126,541,29821,9940.333333,16994.7798,29564,49,0,0,0,0,172,136,78.14697884,62.51758307,0,1338,323.1,551.7194235,304394.3222,0,0,0,1,0,0,0,0,0,359.0,24.2,777.5,172,0,0,0,0,0,0,5,121,4,3110,65535,4050,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,41743,2,2,76,236,38,38,38.0,0.0,118,118,118.0,0.0,7474.307069,95.82444961,13914.33333,24094.27011,41736,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,80,47.9122248,47.9122248,38,118,70.0,43.8178046,1920.0,0,0,0,0,0,0,0,0,1,87.5,38.0,118.0,64,0,0,0,0,0,0,2,76,2,236,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,140338,4,2,116,158,29,29,29.0,0.0,79,79,79.0,0.0,1952.429135,42.75392267,28067.6,47538.84641,109758,3,30577,10192.33333,17610.35165,30527,3,3,3.0,0.0,3,3,0,0,0,0,128,64,28.50261511,14.25130756,29,79,43.28571429,24.39750182,595.2380952,0,0,0,0,0,0,0,0,0,50.5,29.0,79.0,128,0,0,0,0,0,0,4,116,2,158,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,70799,1,1,43,78,43,43,43.0,0.0,78,78,78.0,0.0,1709.063687,28.24898657,70799.0,0.0,70799,70799,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,14.12449328,14.12449328,43,78,54.66666667,20.20725942,408.3333333,0,0,0,0,0,0,0,0,1,82.0,43.0,78.0,32,0,0,0,0,0,0,1,43,1,78,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,59186,3,4,438,860,438,0,146.0,252.8794179,860,0,215.0,430.0,21930.86203,118.2712128,9864.333333,11433.96795,23464,4,35318,17659.0,8020.005112,23330,11988,35882,11960.66667,20367.57053,35478,4,0,0,0,0,104,136,50.68766262,67.58355016,0,860,162.25,320.9012977,102977.6429,0,0,0,1,0,0,0,0,1,185.4285714,146.0,215.0,104,0,0,0,0,0,0,3,438,4,860,29200,31,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
53,178,2,2,88,188,44,44,44.0,0.0,94,94,94.0,0.0,1550561.798,22471.91011,59.33333333,95.84014469,170,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,40,40,11235.95506,11235.95506,44,94,64.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,80.0,44.0,94.0,40,0,0,0,0,0,0,2,88,2,188,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
